Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.31,0.31,0.3603815849687284
75% Corpus,3,0.31,0.61,0.35139325582899406
75% Corpus,3,0.31,0.9099999999999999,0.36338003523208684
75% Corpus,3,0.31,symmetric,0.3603815849687284
75% Corpus,3,0.61,0.31,0.3404145157036105
75% Corpus,3,0.61,0.61,0.3455792345018746
75% Corpus,3,0.61,0.9099999999999999,0.35916262977450786
75% Corpus,3,0.61,symmetric,0.3275503125645957
75% Corpus,3,0.9099999999999999,0.31,0.3309702515678496
75% Corpus,3,0.9099999999999999,0.61,0.32242073270317856
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.32181286939211134
75% Corpus,3,0.9099999999999999,symmetric,0.3309702515678496
75% Corpus,3,symmetric,0.31,0.3603815849687284
75% Corpus,3,symmetric,0.61,0.3592871718638521
75% Corpus,3,symmetric,0.9099999999999999,0.3593434038001049
75% Corpus,3,0.31,0.31,0.3603815849687284
75% Corpus,3,0.31,0.61,0.35139325582899406
75% Corpus,3,0.31,0.9099999999999999,0.36584615335268666
75% Corpus,3,0.31,symmetric,0.3603815849687284
75% Corpus,3,0.61,0.31,0.3404145157036105
75% Corpus,3,0.61,0.61,0.3455792345018746
75% Corpus,3,0.61,0.9099999999999999,0.35916262977450786
75% Corpus,3,0.61,symmetric,0.3275503125645957
75% Corpus,3,0.9099999999999999,0.31,0.3309702515678496
75% Corpus,3,0.9099999999999999,0.61,0.32242073270317856
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.32181286939211134
75% Corpus,3,0.9099999999999999,symmetric,0.3309702515678496
75% Corpus,3,symmetric,0.31,0.3603815849687284
75% Corpus,3,symmetric,0.61,0.3592871718638521
75% Corpus,3,symmetric,0.9099999999999999,0.3593434038001049
75% Corpus,3,symmetric,symmetric,0.36038158496872846
75% Corpus,3,asymmetric,0.31,0.38836477771175076
75% Corpus,3,asymmetric,0.61,0.43801640442227346
75% Corpus,3,asymmetric,0.9099999999999999,0.4900430573129486
75% Corpus,3,asymmetric,symmetric,0.36358835690051433
75% Corpus,4,0.31,0.31,0.32123343323493614
75% Corpus,4,0.31,0.61,0.31814283642973845
75% Corpus,4,0.31,0.9099999999999999,0.3233148535191701
75% Corpus,4,0.31,symmetric,0.33020833397346616
75% Corpus,4,0.61,0.31,0.3190806180035072
75% Corpus,4,0.61,0.61,0.2752942751461675
75% Corpus,4,0.61,0.9099999999999999,0.286579848036764
75% Corpus,4,0.61,symmetric,0.3190806180035071
75% Corpus,4,0.9099999999999999,0.31,0.31325916919292984
75% Corpus,4,0.9099999999999999,0.61,0.3338732036620896
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.340720842727179
75% Corpus,4,0.9099999999999999,symmetric,0.3132551310695226
75% Corpus,4,symmetric,0.31,0.3190408174183646
75% Corpus,4,symmetric,0.61,0.29283131619493574
75% Corpus,4,symmetric,0.9099999999999999,0.318819575064111
75% Corpus,4,symmetric,symmetric,0.31481090961110103
75% Corpus,4,asymmetric,0.31,0.3639069267537742
75% Corpus,4,asymmetric,0.61,0.4516044986999188
75% Corpus,4,asymmetric,0.9099999999999999,0.5338752372205614
75% Corpus,4,asymmetric,symmetric,0.36718764903629236
75% Corpus,5,0.31,0.31,0.295764842753416
75% Corpus,5,0.31,0.61,0.28785233578690483
75% Corpus,5,0.31,0.9099999999999999,0.29304134782531055
75% Corpus,5,0.31,symmetric,0.29411371825547816
75% Corpus,5,0.61,0.31,0.32278467947069733
75% Corpus,5,0.61,0.61,0.2872073479233411
75% Corpus,5,0.61,0.9099999999999999,0.3055152049705344
75% Corpus,5,0.61,symmetric,0.3376005793103575
75% Corpus,5,0.9099999999999999,0.31,0.362826369361367
75% Corpus,5,0.9099999999999999,0.61,0.3385629454729048
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.37278175225396715
75% Corpus,5,0.9099999999999999,symmetric,0.33474306305134255
75% Corpus,5,symmetric,0.31,0.31139124741796465
75% Corpus,5,symmetric,0.61,0.29965182159748993
75% Corpus,5,symmetric,0.9099999999999999,0.31457553762279006
75% Corpus,5,symmetric,symmetric,0.29930854371042825
75% Corpus,5,asymmetric,0.31,0.35967193561642824
75% Corpus,5,asymmetric,0.61,0.4757575936923395
75% Corpus,5,asymmetric,0.9099999999999999,0.449865329688128
75% Corpus,5,asymmetric,symmetric,0.34480085771399294
75% Corpus,6,0.31,0.31,0.3579827956734047
75% Corpus,6,0.31,0.61,0.357838554863362
75% Corpus,6,0.31,0.9099999999999999,0.37246185433451456
75% Corpus,6,0.31,symmetric,0.3295613196134127
75% Corpus,6,0.61,0.31,0.31838727565094777
75% Corpus,6,0.61,0.61,0.3662045316262919
75% Corpus,6,0.61,0.9099999999999999,0.41990828874248765
75% Corpus,6,0.61,symmetric,0.3209738056782308
75% Corpus,6,0.9099999999999999,0.31,0.36496930459094235
75% Corpus,6,0.9099999999999999,0.61,0.3895983067851761
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3941412836196358
75% Corpus,6,0.9099999999999999,symmetric,0.32652115485714506
75% Corpus,6,symmetric,0.31,0.34338894509122847
75% Corpus,6,symmetric,0.61,0.33946437394185786
75% Corpus,6,symmetric,0.9099999999999999,0.3471837236978193
75% Corpus,6,symmetric,symmetric,0.3471855899866549
75% Corpus,6,asymmetric,0.31,0.3986924563193079
75% Corpus,6,asymmetric,0.61,0.3256241282302886
75% Corpus,6,asymmetric,0.9099999999999999,0.5603726124776286
75% Corpus,6,asymmetric,symmetric,0.344547936829928
75% Corpus,7,0.31,0.31,0.32543302559276305
75% Corpus,7,0.31,0.61,0.3686887925761916
75% Corpus,7,0.31,0.9099999999999999,0.48323776919147315
75% Corpus,7,0.31,symmetric,0.3242318648370358
75% Corpus,7,0.61,0.31,0.38677349994103327
75% Corpus,7,0.61,0.61,0.48034533867158913
75% Corpus,7,0.61,0.9099999999999999,0.5097894099022088
75% Corpus,7,0.61,symmetric,0.35993970240740564
75% Corpus,7,0.9099999999999999,0.31,0.37889280835713895
75% Corpus,7,0.9099999999999999,0.61,0.45565541459581277
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4033991702838645
75% Corpus,7,0.9099999999999999,symmetric,0.35169864937272244
75% Corpus,7,symmetric,0.31,0.3669200969108587
75% Corpus,7,symmetric,0.61,0.3532843251585964
75% Corpus,7,symmetric,0.9099999999999999,0.3321461525531112
75% Corpus,7,symmetric,symmetric,0.3382513026376941
75% Corpus,7,asymmetric,0.31,0.4882294799894371
75% Corpus,7,asymmetric,0.61,0.4288162189736007
75% Corpus,7,asymmetric,0.9099999999999999,0.5684028628031624
75% Corpus,7,asymmetric,symmetric,0.3848202224303849
75% Corpus,8,0.31,0.31,0.3535157736660877
75% Corpus,8,0.31,0.61,0.4887806102310735
75% Corpus,8,0.31,0.9099999999999999,0.5023446591867304
75% Corpus,8,0.31,symmetric,0.34311736165744317
75% Corpus,8,0.61,0.31,0.4474567892169015
75% Corpus,8,0.61,0.61,0.58032911464982
75% Corpus,8,0.61,0.9099999999999999,0.44803648719220046
75% Corpus,8,0.61,symmetric,0.3893163070916428
75% Corpus,8,0.9099999999999999,0.31,0.3809769521948803
75% Corpus,8,0.9099999999999999,0.61,0.5489153706796871
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3546378607954459
75% Corpus,8,0.9099999999999999,symmetric,0.35950834622526784
75% Corpus,8,symmetric,0.31,0.3905610112212735
75% Corpus,8,symmetric,0.61,0.4157933361093825
75% Corpus,8,symmetric,0.9099999999999999,0.42407828359579985
75% Corpus,8,symmetric,symmetric,0.30718542523577225
75% Corpus,8,asymmetric,0.31,0.42450847671973585
75% Corpus,8,asymmetric,0.61,0.4577139275441379
75% Corpus,8,asymmetric,0.9099999999999999,0.5448062992225426
75% Corpus,8,asymmetric,symmetric,0.4082689771151597
100% Corpus,3,0.31,0.31,0.3252756625651099
100% Corpus,3,0.31,0.61,0.32442978590602584
100% Corpus,3,0.31,0.9099999999999999,0.32039388169777355
100% Corpus,3,0.31,symmetric,0.32908469178960303
100% Corpus,3,0.61,0.31,0.3276291186874238
100% Corpus,3,0.61,0.61,0.3374397717687942
100% Corpus,3,0.61,0.9099999999999999,0.3330772814847107
100% Corpus,3,0.61,symmetric,0.32762911868742384
100% Corpus,3,0.9099999999999999,0.31,0.34885311377418304
100% Corpus,3,0.9099999999999999,0.61,0.3279380701110598
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3477109943157741
100% Corpus,3,0.9099999999999999,symmetric,0.34885311377418304
100% Corpus,3,symmetric,0.31,0.31790260219473143
100% Corpus,3,symmetric,0.61,0.31913123494754664
100% Corpus,3,symmetric,0.9099999999999999,0.3203938816977736
100% Corpus,3,symmetric,symmetric,0.32746846599766494
100% Corpus,3,asymmetric,0.31,0.3341108581079391
100% Corpus,3,asymmetric,0.61,0.3958055751047631
100% Corpus,3,asymmetric,0.9099999999999999,0.41255868156202213
100% Corpus,3,asymmetric,symmetric,0.3413410076734858
100% Corpus,4,0.31,0.31,0.3341021210902142
100% Corpus,4,0.31,0.61,0.3502084741426792
100% Corpus,4,0.31,0.9099999999999999,0.31163775435361357
100% Corpus,4,0.31,symmetric,0.3254312013252103
100% Corpus,4,0.61,0.31,0.3314234819627592
100% Corpus,4,0.61,0.61,0.3113855182232369
100% Corpus,4,0.61,0.9099999999999999,0.292929627754844
100% Corpus,4,0.61,symmetric,0.3551665992979631
100% Corpus,4,0.9099999999999999,0.31,0.33654822717410027
100% Corpus,4,0.9099999999999999,0.61,0.32811906269586155
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.2938506092407964
100% Corpus,4,0.9099999999999999,symmetric,0.33654822717410027
100% Corpus,4,symmetric,0.31,0.3340928318139533
100% Corpus,4,symmetric,0.61,0.3525432789661562
100% Corpus,4,symmetric,0.9099999999999999,0.31264317888364307
100% Corpus,4,symmetric,symmetric,0.3084444328983078
100% Corpus,4,asymmetric,0.31,0.36389698271206816
100% Corpus,4,asymmetric,0.61,0.37930056300228554
100% Corpus,4,asymmetric,0.9099999999999999,0.4107214499621938
100% Corpus,4,asymmetric,symmetric,0.38966475200684997
100% Corpus,5,0.31,0.31,0.30669590858421913
100% Corpus,5,0.31,0.61,0.3126784214069945
100% Corpus,5,0.31,0.9099999999999999,0.3043958174972925
100% Corpus,5,0.31,symmetric,0.3074292600284375
100% Corpus,5,0.61,0.31,0.34179805119470225
100% Corpus,5,0.61,0.61,0.3214215020704573
100% Corpus,5,0.61,0.9099999999999999,0.30243576885826906
100% Corpus,5,0.61,symmetric,0.3432638057358715
100% Corpus,5,0.9099999999999999,0.31,0.3478260100114466
100% Corpus,5,0.9099999999999999,0.61,0.32827692800640673
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.28778526663892806
100% Corpus,5,0.9099999999999999,symmetric,0.3539820650089261
100% Corpus,5,symmetric,0.31,0.316609769855211
100% Corpus,5,symmetric,0.61,0.3203394730700523
100% Corpus,5,symmetric,0.9099999999999999,0.3308217268942489
100% Corpus,5,symmetric,symmetric,0.3219684296171047
100% Corpus,5,asymmetric,0.31,0.35110485412742165
100% Corpus,5,asymmetric,0.61,0.37987348719300673
100% Corpus,5,asymmetric,0.9099999999999999,0.4449111580052801
100% Corpus,5,asymmetric,symmetric,0.36301611201216427
100% Corpus,6,0.31,0.31,0.33346688643431843
100% Corpus,6,0.31,0.61,0.32764501824679176
100% Corpus,6,0.31,0.9099999999999999,0.3539900982765151
100% Corpus,6,0.31,symmetric,0.3096121899363364
100% Corpus,6,0.61,0.31,0.284795934987836
100% Corpus,6,0.61,0.61,0.3151456903386318
100% Corpus,6,0.61,0.9099999999999999,0.35682795992028843
100% Corpus,6,0.61,symmetric,0.3115441652689194
100% Corpus,6,0.9099999999999999,0.31,0.3133413218799656
100% Corpus,6,0.9099999999999999,0.61,0.3297983582218216
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.3387919095605345
100% Corpus,6,0.9099999999999999,symmetric,0.33276835302487856
100% Corpus,6,symmetric,0.31,0.3293233819437014
100% Corpus,6,symmetric,0.61,0.3516422628365376
100% Corpus,6,symmetric,0.9099999999999999,0.3522722327470868
100% Corpus,6,symmetric,symmetric,0.3288084904533597
100% Corpus,6,asymmetric,0.31,0.3475866052264028
100% Corpus,6,asymmetric,0.61,0.3415768231349842
100% Corpus,6,asymmetric,0.9099999999999999,0.5342683118229585
100% Corpus,6,asymmetric,symmetric,0.3304133265230236
100% Corpus,7,0.31,0.31,0.34953569486362
100% Corpus,7,0.31,0.61,0.35964914901440104
100% Corpus,7,0.31,0.9099999999999999,0.3899455265670348
100% Corpus,7,0.31,symmetric,0.35333042976194756
100% Corpus,7,0.61,0.31,0.374253682991164
100% Corpus,7,0.61,0.61,0.43435484226940535
100% Corpus,7,0.61,0.9099999999999999,0.42548359575859784
100% Corpus,7,0.61,symmetric,0.34241293274512763
100% Corpus,7,0.9099999999999999,0.31,0.37607976916455355
100% Corpus,7,0.9099999999999999,0.61,0.39360729301916414
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3149852330627726
100% Corpus,7,0.9099999999999999,symmetric,0.37662800836347443
100% Corpus,7,symmetric,0.31,0.36973941828069146
100% Corpus,7,symmetric,0.61,0.3636914507541447
100% Corpus,7,symmetric,0.9099999999999999,0.3345600511687757
100% Corpus,7,symmetric,symmetric,0.322145393215612
100% Corpus,7,asymmetric,0.31,0.3272182881600597
100% Corpus,7,asymmetric,0.61,0.5049380019034001
100% Corpus,7,asymmetric,0.9099999999999999,0.5444522101071383
100% Corpus,7,asymmetric,symmetric,0.315068776194625
100% Corpus,8,0.31,0.31,0.3499082675402878
100% Corpus,8,0.31,0.61,0.392455145326435
100% Corpus,8,0.31,0.9099999999999999,0.4092725185067621
100% Corpus,8,0.31,symmetric,0.3579826610078526
100% Corpus,8,0.61,0.31,0.35535154464666185
100% Corpus,8,0.61,0.61,0.46236093222343555
100% Corpus,8,0.61,0.9099999999999999,0.4360060406518315
100% Corpus,8,0.61,symmetric,0.34308425174526397
100% Corpus,8,0.9099999999999999,0.31,0.3926429400645124
100% Corpus,8,0.9099999999999999,0.61,0.4380043446727864
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.35196308131487564
100% Corpus,8,0.9099999999999999,symmetric,0.37104608203964395
100% Corpus,8,symmetric,0.31,0.34156183032103127
100% Corpus,8,symmetric,0.61,0.34170223637470715
100% Corpus,8,symmetric,0.9099999999999999,0.387996967746031
100% Corpus,8,symmetric,symmetric,0.3533010393384054
100% Corpus,8,asymmetric,0.31,0.4350242137716538
100% Corpus,8,asymmetric,0.61,0.5155437400716788
100% Corpus,8,asymmetric,0.9099999999999999,0.5905119656511264
100% Corpus,8,asymmetric,symmetric,0.3835134314535923
